Candidate,Campaign Committee,Jurisdiction,Office,District,Election Year,Party,COOSA,Total Contributions,Total Expenditures
"Mather, John Richard",Committee to keep Judge John R. Mather,Fulton County,State Court Judge,5,2022,Non-Partisan,No,,,
"Mathiak, Karen I",Dr. Karen Mathiak For State House,State,State Representative,82,2022,Republican,Yes,260990.71,226985.89,
"Mathis, Danny ",,State,State Representative,133,2022,Republican,No,75761.42,46582.25,
"Mathis, Stoney",Committee to elect stoney Mathis,State,State Representative,68,2022,Republican,No,78546.39,75029.33,
"Mathis, Synita Darnette",,Long,Board of Education,3,2024,Non-Partisan,No,,,
"Matson, Matthew W",Matt Matson for Judge,State,Superior Court Judge,Augusta Judicial Circuit: Craig,2024,Non-Partisan,No,63126,39109.86,
"Matthews, Regina Jeanette","Regina Matthews for Superior Court, Inc.",State,Superior Court Judge,Gwinnett Judicial Circuit: Beyers,2024,Non-Partisan,Yes,82822.89,80528.54,
"Mauck, Julie Ellen",,Oconee,Board of Education,10,2022,Republican,Yes,,,
"Mauldin, Brett Larry",,State,State Senator,17,2022,Republican,No,64655.73,64655.73,
"Maxwell, Kendrick ",,Stephens,Board of Education,2,2022,Republican,No,,,
"Maxwell, Shekita",Committee to Elect Shekita Maxwell,Macon-Bibb (Cons. Gov.),Mayor,,2024,Non-Partisan,No,,,
"McAfee, Scott Franklin","Committee to Keep Judge McAfee, Inc.",State,Superior Court Judge,Atlanta Judicial Circuit: McAfee,2024,Non-Partisan,Yes,343121.94,17066.09,
McBride Bemon Gilmore "Gil",Committe to Elect Gil McBride,State,Superior Court Judge,Chattahoochee,2024,Other,Yes,31532.5,23693.49,
"McBurney, Robert C. I.",Committee to Keep Judge McBurney,State,Superior Court Judge,Atlanta Judicial Circuit: McBurney,2022,Unspecified,Yes,11635.4,3878.7,
"McCabe, Kristin",,Fulton,Board of Education,5,2022,Other,No,,,
"McCall, Wesley Robert",,Forsyth,Board of Education,1,2022,Republican,No,,,
"McCamy, Cheveda Delieth",Committee to Elect Cheveda McCamy,State,Superior Court Judge,Alcovy Judicial Circuit: McCamy,2022,Non-Partisan,No,10739.03,6911.9,
"McClain, Dewey Loren",Friends of Dewey McClain,State,State Representative,100,2024,Democrat,No,79667.12,61788,
"Mcclellan, Blake Edward",,State,State Representative,28,2022,Republican,No,12328.06,12328.06,
"McClure, Jack",Jack McClure for State House,State,State Representative,98,2022,Democrat,No,,,
"Mccollum, Derrick William","Conservatives for McCollum, LLC",State,State Representative,30,2024,Republican,Yes,343692.4,203425.25,
"McConnell, ?Thomas Michael",,State,State Representative,107,2022,Republican,No,849.31,,
"McCord, Emmett L, Jr.",Elect Dr. Emmett McCord Commissioner District One,Clayton County,County Commissioner,1,2024,Democrat,No,,,
"McCord, Jamie",Committee to Elect Jamie McCord,Walton County,County Commissioner,,2022,Republican,No,,,
"McCormick, James Dustin","Friends of Dustin McCormick, Inc.",State,State Representative,45,2022,Democrat,Yes,28036.41,26533.04,
"McCoy, Monique L.",Committee to Elect Monique McCoy,State,State Representative,61,2022,Democrat,No,23009.73,23009.73,
"McDaniel, Makenzie",,Henry County,County Commissioner,2,2024,Other,No,,,
"McDonald, Austin",,DeKalb,Board of Education,1,2024,Non-Partisan,No,,,
"McDonald, Austin Carroll",,State,State Senator,40,2022,Republican,No,75882.38,80460.7,
"MCDONALD, LAUREN W, III",MCDONALD FOR GEORGIA,State,State Representative,26,2024,Republican,No,221488.97,88030.53,
"McElrath, Crystal Stevens",Committee to Elect Crystal Stevens McElrath,Cobb County,State Court Judge,6,2024,Non-Partisan,Yes,,,
"McElrath, Crystal Stevens",Committee to Elect Crystal Stevens McElrath,Cobb County,State Court Judge,7,2024,Non-Partisan,Yes,,,
"McElyea, Martha Ellen",Committee to Re-Elect Judge Ellen McElyea,State,Superior Court Judge,Blue Ridge Judicial Circuit: McElyea,2024,Non-Partisan,No,31830.31,125,
"McFall, Brittany Michelle",,Wilcox County,Tax Commissioner,,2022,Republican,No,,,
"McGinley, Randal Matthew",,State,District Attorney,Alcovy,2024,Republican,No,2463.49,,
"McGinley, Randal Matthew",,State,District Attorney,Alcovy,2022,Republican,No,,,
"Mcgregor, Mack Harold",Mcgregor For Lt. Governor,,Lieutenant Governor,,2022,Republican,No,4269,4269,
"McIlvaine, James Wrixam",Committee to Elect McIlvaine,Glynn County,Solicitor General,,2024,Non-Partisan,No,,,
"McKay, Joseph E, III",McKay for Georgia,State,State Senator,7,2022,Republican,No,82656.29,85156.29,
"McKeithen, Gregory DeWayne",Committee to Elect Gregory McKeithen for District Attorney,State,District Attorney,Gwinnett,2024,Democrat,Yes,,,
"McKenzie, Bill Paul",Elect Bill McKenzie,Coweta County,County Commissioner,2,2022,Republican,No,,,
"Mckie, Philip",,Wilcox,Board of Education,5,2022,Republican,No,,,
"McKinney, Colin Michael",,State,Public Service Commissioner,2,2022,Other,No,5072.36,3911.46,
"McLaurin, Josh ","Josh McLaurin for Senate, Inc.",State,State Senator,14,2022,Democrat,Yes,239680.46,220092.56,
"McLaurin, Joshua","Friends of Josh McLaurin, Inc.",State,State Representative,51,2022,Democrat,Yes,21736.63,22088.63,
"McLendon, Harold D.",McLendon for District Attorney,State,District Attorney,Dublin,2024,Republican,No,35250,7475.15,
"McLeod, Donna ",HD105 To Elect Donna McLeod,State,State Representative,105,2022,Democrat,Yes,28963.85,28871.86,
"McLeod, Donna Theresa",Friends of Donna McLeod,Gwinnett County,County Commission Chair,,2024,Democrat,No,,,
"McLocklin, Wayne David",,State,Superior Court Judge,Piedmont Judicial Circuit: McLocklin,2022,Unspecified,Yes,,,
"McMaster, Matthew Dennis",McMaster For Cobb LLC,State,Superior Court Judge,Cobb Judicial Circuit: Leonard,2022,Non-Partisan,No,14800.66,14789.48,
"McMillian, Carla Wong","Friends of Judge Carla McMillian, Inc.",,Court of Appeals Judge,,2022,Non-Partisan,No,69766.3,69766.3,
"McNeal, Wendell Delano",Wendell McNeal for State House Inc,State,State Representative,114,2022,Republican,No,146306.83,135455.65,
"McNease, Ronald Victor, Jr.",,State,District Attorney,Pataula,2022,Democrat,No,,,
"McNeill, Sheila ",Committee to Elect Sheila McNeill,State,State Senator,3,2022,Republican,Yes,36900,39959.39,
"McNeily, Robert Brandon","McNeily for Georgia, LLC",State,State Representative,52,2024,Republican,No,3003,616.02,
"McQueen, Mekyah Qiana","The Committee to Elect Mekyah McQueen, Inc.",State,State Representative,61,2024,Democrat,No,19383.38,8103.6,
"McRee, Katie",Katie McRee Committee to Elect for School Board,Cherokee,Board of Education,3,2022,Democrat,No,,,
"McWaters, Vickie Sue",,Troup County,Chief Magistrate Judge,,2022,Non-Partisan,No,,,
"Meadows, Leonard",,Ware,Board of Education,6,2022,Other,No,,,
"Meeks, Steven Alton",Meeks for Georgia,State,State Representative,178,2022,Republican,No,216029.23,140286.74,
"Melton, Carole H",The Committee To Elect Carole Melton Clerk of Court,Cobb County,Clerk of Superior Court,,2024,Democrat,No,,,
"Mendonca, Onassis",,Paulding County,County Commission Chair,,2024,Other,No,,,
"Menk, Linda",,Coweta,Board of Education,4,2022,Non-Partisan,Yes,,,
"Mercier, Amanda Harper","Committee To Keep Judge Amanda Mercier, Inc.",,Court of Appeals Judge,,2024,Other,Yes,57936.73,5609.7,
"Merello, Adalina-Alejandrina Capuli-Chaskanahui",Friends of Ada,State,State Representative,56,2024,Democrat,No,13689,17465.4,
"Messina, Kirby Anne",Committee to Elect Kirby Messina for School Board,Cobb,Board of Education,1,2024,Democrat,No,,,
"Metz, Edward Tecumseh",Committee to Elect Ted Metz,,Secretary of State,,2022,Other,No,19489.04,21089.04,
"Metzger, Makia ",Friends to Elect Makia Metzger,Cobb County,Solicitor General,,2022,Democrat,No,,,
"Meyer, Craig Jon",,State,State Representative,25,2022,Democrat,No,2083.25,2583.25,
"Middleton, Christopher K",Committee to Elect Christopher Middleton,State,Superior Court Judge,Eastern Judicial Circuit: Freesemann,2024,Non-Partisan,Yes,73180.73,39689.99,
"Mieldezis, Larry",Friends of Larry Mieldezis,State,State Senator,49,2022,Republican,No,,,
"Miller, Ben J., Jr.","Committee to Re-Elect Judge Ben J. Miller, Jr.",State,Superior Court Judge,Griffin Judicial Circuit: Miller,2022,Non-Partisan,Yes,2050,,
"Miller, Ben Joseph, Jr.",,State,Superior Court Judge,Griffin Judicial Circuit: Miller,2022,Non-Partisan,No,,,
"Miller, Bryan ","Bryan for Georgia, Inc.",,Lieutenant Governor,,2022,Democrat,Yes,84494.7,84494.7,
Miller Cecil "Butch" Terrell,Butch for Georgia,,Lieutenant Governor,,2022,Republican,Yes,788690.19,3271696.112,
"Miller, M Yvette",Committee to Re-Elect Judge M. Yvette Miller,,Court of Appeals Judge,,2024,Other,No,39679.01,2910,
"Miller, Melanie ",Friends for Elect Melanie Miller,State,State Representative,124,2024,Democrat,No,5877.63,4130.89,
"MILLER, MELANIE MICHELE",Friends to Elect Melanie Miller,Greene County,County Commissioner,1,2022,Democrat,Yes,,,
"miller, michael shane",vote4shane,State,State Representative,64,2022,Republican,No,6272.81,5635.53,
"Miller, Mikal",,Savannah-Chatham,Board of Education,4,2024,Other,No,,,
"Miller, Nathaniel Marlon, Jr.",The Committee to Elect Nick Miller,State,State Representative,35,2022,Democrat,No,11413,9896.04,
"Miller, Shalanda ",Committee to Elect Shalanda Miller Inc.,State,Superior Court Judge,Atlanta Judicial Circuit: Eaton,2022,Non-Partisan,No,122343.69,149158,
"Miller, Tanya F.","Tanya For Georgia, Inc.",State,State Representative,62,2024,Democrat,Yes,210839.59,203659.47,
"Mills, Carl Richard, Jr.",,State,State Representative,8,2024,Republican,No,12283,9947.57,
"Mills, James",,State,State Representative,25,2022,Republican,No,,,
"Mills, Rashon",Mills for Georgia Campaign Committee,State,State Representative,69,2024,Democrat,No,,,
"Mills, Ray",,State,State Representative,69,2024,Democrat,No,,,
"Milum, Jenine M",,State,State Representative,82,2022,Republican,No,6455,6057.18,
"Mingledorff, Currie Mell","Committee to Elect Currie Mingledorff Judge, Inc",State,Superior Court Judge,Piedmont Judicial Circuit: Mingledorff,2024,Non-Partisan,Yes,10033.49,4337.1,
"Minter, Barry Scott",Committee To Elect Scott Minter,State,Superior Court Judge,Conasauga,2024,Unspecified,Yes,,,
"Mitchell, Billy","BILLY MITCHELL FOR STATE REPRESENTATIVE, LLC",State,State Representative,88,2022,Democrat,Yes,222965.42,177616.13,
"Mitchell, Denise R.",Committee to Elect Denise Mitchell,Gwinnett County,Tax Commissioner,,2024,Democrat,Yes,,,
"Mitchell, Errol O",,State,State Representative,73,2022,Democrat,Yes,50,356.92,
"Mitchell, Henry, III",Committee To Elect Henry Mitchell,Douglas County,County Commissioner,1,2022,Democrat,No,,,
"Mitchell, Rebecca Mans","Rebecca For Georgia, Inc.",State,State Representative,106,2022,Democrat,Yes,101020.41,101020.41,
"Mobley, Donald Stanley, Sr.",Mobley for Representative,State,State Representative,172,2022,Democrat,No,,,
"Mock, Jennifer Campbell",,Bulloch County,County Commissioner,2,2022,Republican,No,,,
"Momtahan, Martin ",Friends of Martin Momtahan,State,State Representative,17,2024,Republican,Yes,300959.99,285843.48,
"Monroe, D. Marie",,DeKalb County,County Commissioner,7,2024,Democrat,No,,,
"Monroe, Jeffery O'Neal, Sr.",,State,Superior Court Judge,Macon Judicial Circuit: Monroe,2024,Non-Partisan,No,,,
"Monson, Corwin L",Family and Friends of Corwin Monson,State,State Representative,56,2024,Democrat,No,9620.63,7968.35,
"Montcalm, Anthony Charles",Friends of Tony Montcalm LLC,Douglas County,County Commissioner,4,2022,Democrat,No,,,
"Moore, Angela ",Neighbors to elect Angela Moore for Georgia-,State,State Representative,91,2024,Democrat,No,10802,6195.4,
"Moore, Angelic",Moore for Georgia,State,State Senator,6,2022,Republican,Yes,30606,42504.5,
"Moore, Beth ",,State,State Senator,7,2022,Democrat,No,116248.33,104215.45,
"Moore, Carminthia Ann",,State,State Representative,45,2022,Republican,Yes,17507.06,18651.2,
"Moore, Colton ",Moore for Georgia,State,State Senator,53,2022,Republican,No,281252.3,249591.97,
"Moore, David Daniel",,Atkinson County,Sheriff,,2024,Non-Partisan,No,,,
"Moore, Elizabeth Bachman",,State,State Representative,95,2022,Democrat,No,,,
"Moore, Gerald Eli",Friends to Elect Gerald Moore for Cobb County,State,Superior Court Judge,Cobb Judicial Circuit: Flournoy,2022,Non-Partisan,Yes,235775.2,154195.47,
"Moore, Missy",Missy Moore For Georgia,State,Public Service Commissioner,3,2022,Democrat,Yes,6293.15,4832.54,
"Moore, Robert Lee, Jr.",,State,Superior Court Judge,Southern Judicial Circuit: Hardy,2022,Non-Partisan,No,600,,
"MOORE, RODNEY R",,State,State Representative,72,2024,Democrat,No,400,,
"Morancie, Michelle Denise",Committee to Elect Dr. Michelle Morancie,Fulton,Board of Education,7,2022,Non-Partisan,No,,,
"Moreland, David Leon",,,Governor,,2022,Non-Partisan,No,,,
"Moreno, Julian William, Jr.",,St. Marys,City Commissioner,3,2022,Republican,No,,,
"Morgan, Barry ",,Cobb County,Solicitor General,,2022,Other,No,,,
"Morgan, Christopher Ryan",Committee to Elect Ryan Morgan for Sheriff,Morgan County,Sheriff,,2024,Republican,No,,,
"Morgan, Kacy Dwight",Committee to elect Kacy D Morgan,State,State Senator,42,2024,Democrat,No,,,
"Morgan, Kayren Parmer",,Cobb County,County Commission Chair,,2024,Republican,Yes,,,
"Morris, Christopher Shane",,Troup County,County Commissioner,3,2024,Republican,No,,,
"MORRIS, GARY KEVIN","COMMITTEE TO ELECT JUDGE G. KEVIN MORRIS, SUPERIOR COURT",State,Superior Court Judge,Alcovy Judicial Circuit: Foster,2024,Non-Partisan,No,40200,8519.84,
Morris Maxine Cynthia "Cindy",Committee to Re-Elect Judge Morris,State,Superior Court Judge,Conasauga,2022,Unspecified,No,,,
"MORRIS, SHONDEANA ",Committee to Keep Judge Morris,State,Superior Court Judge,Stone Mountain Judicial Circuit: Morris,2024,Non-Partisan,No,53329.95,18301.81,
"Morris, Taurus N Madric",,Paulding County,County Commissioner,3,2022,Democrat,Yes,,,
"Morrow, James W, Jr.",,,State School Superintendent,,2022,Democrat,No,4358.1,4358.1,
Morse John E. "Pancho",Committee to Elect Judge Morse,State,Superior Court Judge,Eastern,2024,Unspecified,Yes,5866.95,4223.71,
"Mosley, Tasha Monique",Committee to Elect Tasha Mosley District Attorney,State,District Attorney,Clayton County,2024,Democrat,Yes,20151.31,10953.03,
"Moss, Mary Kathryn",Committee to Elect Mary Kathryn Moss,Chatham County,Chief Magistrate Judge,,2024,Non-Partisan,No,,,
"Moss, Roger , Jr.",Friends of Roger Moss,Savannah-Chatham,Board of Education,at-Large,2022,Non-Partisan,No,,,
"Moulton, Matthew L",Moulton for Sheriff,Houston County,Sheriff,,2024,Republican,No,,,
"Mpayamaguru, Uwamusni Maurice",,State,State Representative,59,2024,Republican,No,,,
"Muckle, Ronald",,Rockdale County,Sheriff,,2024,Democrat,No,,,
"MUGHAL, FAROOQ ","MUGHAL FOR GEORGIA, LLC",State,State Representative,105,2024,Democrat,Yes,250899.39,216625.04,
"Mulholland, Joseph K",,State,District Attorney,South Georgia,2024,Republican,No,,,
"Mulliens, Christopher",,Richmond,Board of Education,9,2022,Other,No,,,
"Mullins, J Ronald",Committee to Elect Ron Mullins,State,Superior Court Judge,Chattahoochee Judicial Circuit: Mullins,2024,Non-Partisan,No,24209.28,6204.95,
"Mullis, Jeff ",Comm. To Elect Jeff Mullis Ga. St. Sen.,State,State Senator,53,2022,Republican,Yes,,173426.67,
"Murphy, Kenneth Lawsha",,State,State Representative,136,2022,Republican,No,12951.87,15887.48,
"Murphy, Mark H.",Citizens for Judge Mark Murphy,State,Superior Court Judge,Tallapoosa Judicial Circuit: Murphy,2024,Non-Partisan,No,4223.46,4253.41,
"Murphy, Robert Edward",,DeKalb County,County Commissioner,6,2024,Democrat,No,,,
"Murray, Osborn, III",osborn for georgia,State,State Senator,55,2024,Democrat,No,,,
"Murvartian, Laura","Murvartian For Georgia, Inc.",State,State Representative,48,2024,Democrat,Yes,63815.76,18138.49,
"Myers, Alex Grayson","Vote Judge Alex Myers, Inc.",Dawson County,Chief Magistrate Judge,,2024,Non-Partisan,Yes,,,
"Myles, L C , Jr.",The Committee to Elect L C Myles,State,State Representative,126,2024,Democrat,No,569,569,
"Myles, Lori",Campaign to Elect Lori Myles: Mayor of Augusta,Augusta-Richmond (Cons. Gov.),Mayor,,2022,Non-Partisan,No,,,
"Naghise, Letitia Lenon",Friends of Tish Naghise,State,State Representative,68,2022,Democrat,No,30911.76,24000.71,
"Nahmias, David ",Citizens to Elect Justice David Nahmias,,Justice of the Supreme Court,,2022,Non-Partisan,Yes,152426.17,152426.17,
"Nash, Cynthia",,Madison,Board of Education,3,2024,Other,No,,,
"Nash, Katrell",Committee to Elect Katrell Nash Chief Judge,Augusta-Richmond (Cons. Gov.),Chief Magistrate Judge,,2022,Democrat,No,,,
"Nash, Michael Allen",,State,State Representative,154,2022,Republican,No,,,
"Nazir, Hamza",FRIENDS OF HAMZA NAZIR,State,State Senator,27,2024,Democrat,No,,,
"Neal, Yasmin ",,State,State Representative,74,2022,Democrat,No,7550,3750,
"Nelson, Billy Joe, Jr.",,State,District Attorney,Atlantic,2022,Republican,No,13950,9635.95,
"Nelson, Demetrius Lendell",Demetrius 4 Diamond District,Gwinnett,Board of Education,3,2024,Non-Partisan,No,,,
"Nelson, Sheila Clark",Committee To Elect Sheila Clark Nelson,State,State Representative,125,2022,Democrat,Yes,5342.39,5342.39,
"Nelson-Porter, Brenda Lynn",Citizens Inspiring Georgia SoS Oversight,,Secretary of State,,2022,Non-Partisan,No,2184.42,2184.42,
"NeSmith, John Christopher",,State,Superior Court Judge,Northern Judicial Circuit: Malcom,2024,Non-Partisan,No,6200,5796.41,
"New, Kimberly R",Committee to Elect Kimberly New,State,State Representative,40,2024,Republican,Yes,164074.13,115728.97,
"Newlin, Jeff",Newlin for Georgia,State,State Senator,41,2024,Republican,Yes,28925,24134.53,
"Newsome, Edward Clinton, Jr.",Ed Newsome for County Commission District 1,Dougherty County,County Commissioner,1,2024,Republican,No,,,
"Newton, Erle Jackson, III",,State,District Attorney,Cherokee,2024,Republican,Yes,500,,
"Newton, William Mark",Committee to Elect Mark Newton,State,State Representative,127,2024,Republican,Yes,173691.96,126459.71,
"Nguyen, Bee ",Bee For Georgia,,Secretary of State,,2022,Democrat,Yes,2791460.63,3705810.18,
"Nichols, Titus Thomas",COMMITTEE TO ELECT TITUS NICHOLS,State,State Senator,37,2022,Democrat,No,14875,10349.89,
"Niedrach, John Edward",Committee to Re-Elect John E (Jack) Niedrach,State,Superior Court Judge,Rome Judicial Circuit: Niedrach,2024,Non-Partisan,No,4900,4900,
"Niquette, Andrew Robert",Andrew For Georgia,State,State Senator,1,2022,Democrat,No,,,
"Niquette, Andrew Robert",Andrew for Georgia,State,State Senator,1,2022,Democrat,No,2215,5.49,
